University,programs,Admission
,,"(b) have obtained a grade D or above in HKALE AS-level Chinese Language and Culture, or Level 4 or above in HKDSE Chinese Language, or equivalent."
香港城市大学,文學碩士(英語語言),"Students will often hold a bachelor's degree or an equivalent qualification in English, TESL, Professional Communication, Education, or a related field. Students from disciplines related to Professional Communication, for example Business Communication, and also other disciplines, may additionally be considered from time to time."
香港城市大学,文學碩士(語言研究),hold a degree of a level equivalent to the above from a local or non-local institution recognized for this purpose by the University
香港城市大学,文學碩士(傳播與新媒體),have a Bachelor's degree from a recognized tertiary institution or an equivalent qualification in a related field before joining this programme;
,,"preferably have at least one year of professional experience in a communication area (e.g., new media, television, broadcasting, newspaper, advertising, public relations, etc.)"
香港城市大学,文學碩士(整合營銷傳播),a Bachelor's degree from a recognized tertiary institution or an equivalent qualification in related field
,,"preferably have one or more years of work experience in a professional communication area (e.g. integrated communication, advertising, public relations, corporate and public information, marketing communication, web or multimedia production, etc)"
香港城市大学,文學碩士(公共政策及管理),"To be eligible for admission, you must satisfy the General Entrance Requirements and hold a degree, or equivalent."
,,Short-listed applicants may be asked to undergo a selection process.
,,Priority will be given to those applying with relevant work experience.
香港城市大学,社會科學碩士(可持續及發展研究),"To be eligible for admission, you must satisfy the General Entrance Requirements and have a Bachelor's degree in a relevant discipline of the social sciences or in a humanities discipline relevant to development studies from a recognized tertiary institution or an equivalent qualification."
,,Applicants with a bachelor’s degree in other fields who possess advanced experience in relevant professions will also be considered. A first degree in a social science or humanities subject would be an advantage.
,,One or more years of working experience in a development-related field would be an advantage.
香港城市大学,文學碩士(國際研究),have a Bachelor's degree in a relevant discipline from a recognized tertiary institution or an equivalent qualification.
,,One or more years of working experience in a related field would be an advantage.
香港城市大学,文學碩士(房屋及都市管理),"To be eligible for admission, an applicant must satisfy the General Entrance Requirements and hold a bachelor’s degree from a recognized university or equivalent."
,,
,,Priority will be given to those applying with relevant work experience and those who can provide evidence of academic or professional attainment acceptable for this purpose by the University.
香港城市大学,社會科學碩士(輔導學),hold a degree of one of the universities in Hong Kong or of any overseas institution recognized for this purpose by the University; or
,,"have obtained an equivalent qualification, or provide evidence of academic and professional attainments acceptable for this purpose by the University; and"
,,"have preferably two years' working experience in social service, education, health, human services, human resources or related areas."
香港城市大学,社會工作碩士,hold a recognized bachelor’s degree from one of the universities in Hong Kong or from any overseas institutions recognized for this purpose by the University; or
,,hold such other qualifications as deemed acceptable by the University as equivalent to the above; and
,,pass an admission interview.
香港城市大学,社會科學碩士(心理學),"have a recognized bachelor's degree from one of the universities in Hong Kong or from any overseas institutions recognized for this purpose by the University,"
,,"or an equivalent qualification, or"
,,"have evidence of academic and professional attainments acceptable for this purpose by the University, AND"
,,"provide documentary evidence that they have a) completed a course of introductory psychology offered by a recognized university or institution, or b) obtained relevant learning or working experiences related to psychology"
香港城市大学,文學碩士(應用社會科學),hold a bachelor's degree of one of the universities in Hong Kong or from an overseas institution recognized for this purpose by the University; or
,,hold such other qualifications as deemed acceptable by University as equivalent to the above.
香港城市大学,理學碩士(化學),"a degree in a relevant science discipline such as Chemistry, Materials Science, Molecular Biology or equivalent;"
,,OR
,,evidence of academic and professional attainments acceptable for this purpose by the University and the Department.
香港城市大学,理學碩士(金融數學與統計),"have a first degree or a postgraduate degree in science and engineering (Mathematics, Physics, Statistics, Computer Science, Engineering, etc.), or in a related discipline (Economics, Finance, Actuarial Science); or equivalent."
香港城市大学,理學碩士(物理學數據建模與量子技術),an undergraduate degree in a relevant science or engineering discipline; OR
,,evidence of academic and/or professional attainments acceptable for this purpose by the University and the Department.
香港城市大学,公共衞生碩士,"Possess a recognised undergraduate degree in Biological, Medicine, Veterinary, Animal, Health, Environmental Sciences, Statistics, Mathematics, Biostatistics, DataScience, Microbiology, Management, Communication, Chinese Medicine, Food Science or a related discipline;"
,,"Preference for admission will be given to high-calibre individuals with a scientific background who have completed a holistic undergraduate education covering statistics, pharmacology, food engineering, medicine, nursing, Chinese medicine, health sciences, management, communication, computer science and food science."
香港城市大学,藝術碩士(創意媒體),"To be eligible for admission, you must satisfy the University’s General Entrance Requirements for master's programmes and must have a bachelor’s degree or equivalent, with preferably some working experience in the arts, design or creative industry. For applicants for Main (Without Stream Specification) and Games Stream, you should submit a portfolio of creative work with an artist statement. For applicants for Human-Computer Interaction Stream, you should complete a survey within 5 calendar days after submission of your online application."
香港城市大学,文學碩士(創意媒體),"Applicants normally must satisfy the University’s General Entrance Requirements for master's programmes, i.e. they should be graduates of an accredited bachelor’s degree programme or equivalent. Both fresh graduates and individuals with some working experience in relevant industries are invited to apply. Applicants without the specified qualifications may still be considered for admission to the programme if they are able to present equivalent qualifications. All applicants must have a demonstrated capacity to pursue the programme."
香港城市大学,理學碩士(能源及環境),"Applicants should have an undergraduate degree in physical sciences or an engineering discipline. Those with an undergraduate degree in other disciplines but, with an attainment of A-level physics or equivalent, or sufficient working experience in the related fields, will be considered on a case by case basis."
香港城市大学,法學碩士(仲裁及爭議解決學),a university degree from a recognized university or equivalent qualifications (e.g. AHKIArb).
,,"Applicants whose employment or professional activities involve arbitration or other forms of dispute resolution may be preferred, where qualifications are otherwise equal, but in all cases admission will be based on merit."
香港城市大学,法學碩士,holding an honours degree in law or equivalent qualification; or
,,having been admitted for professional practice of law in Hong Kong or other jurisdictions; or
,,"having obtained either a Common Professional Examination (CPE) of the United Kingdom or Hong Kong with satisfactory results, provided that a second class honours degree has also been obtained; or"
,,having obtained a Postgraduate Certificate in Hong Kong Law or Master of Arts/Laws in Arbitration and Dispute Resolution;
,,
,,AND
,,being proficient in English.
